"sample","group","detailed_group"
"KT_1","cALCL","cALCL"
"KT_2","cALCL","cALCL"
"KT_3","cALCL","cALCL"
"KT_4","cALCL","cALCL"
"KT_5","cALCL","cALCL"
"KT_6","cALCL","cALCL"
"KT_7","cALCL","cALCL"
"KT_8","cALCL","cALCL"
"KT_9","cALCL","cALCL"
"KT_10","cALCL","cALCL"
"KT_11","cALCL","cALCL"
"KT_12","cALCL","cALCL"
"ERR431582","CD4","CD4_CM"
"ERR431598","CD4","CD4_CM"
"ERR431614","CD4","CD4_CM"
"ERR431620","CD4","CD4_CM"
"ERR431626","CD4","CD4_CM"
"ERR431575","CD4","CD4_EM"
"ERR431576","CD4","CD4_EM"
"ERR431588","CD4","CD4_EM"
"ERR431603","CD4","CD4_EM"
"ERR431616","CD4","CD4_EM"
"ERR431571","CD4","CD4_Naive"
"ERR431574","CD4","CD4_Naive"
"ERR431580","CD4","CD4_Naive"
"ERR431581","CD4","CD4_Naive"
"ERR431610","CD4","CD4_Naive"
"ERR431595","CD4","CD4_Th17"
"ERR431597","CD4","CD4_Th17"
"ERR431604","CD4","CD4_Th17"
"ERR431618","CD4","CD4_Th17"
"ERR431625","CD4","CD4_Th17"
"ERR431570","CD4","CD4_Th1"
"ERR431577","CD4","CD4_Th1"
"ERR431584","CD4","CD4_Th1"
"ERR431587","CD4","CD4_Th1"
"ERR431622","CD4","CD4_Th1"
"ERR431566","CD4","CD4_Th2"
"ERR431579","CD4","CD4_Th2"
"ERR431600","CD4","CD4_Th2"
"ERR431615","CD4","CD4_Th2"
"ERR431628","CD4","CD4_Th2"
"ERR431583","CD4","CD4_Treg"
"ERR431589","CD4","CD4_Treg"
"ERR431601","CD4","CD4_Treg"
"ERR431606","CD4","CD4_Treg"
"ERR431609","CD4","CD4_Treg"
