Left-genes	Right-genes	STAR-Fusion	Fusioncatcher
			
REV3L	RPL28	chr6:111482947:-chr19:55386358:+	
HOXD11	AGAP3	chr2:176107616:+chr7:151086841:+	
AGAP3	HOXD11	chr7:151086814:+chr2:176107588:+	
CYB561A3	CXCL16	chr11:61358227:-chr17:4734018:-	
RASGEF1C	RPL10	chr5:180115284:-chrX:154399526:+	
SATB2	TMED2	chr2:199270504:-chr12:123596726:+	
TMEM150A	RAB7A	chr2:85599039:-chr3:128813589:+	
ADSS	JUND	chr1:244416038:-chr19:18281151:-	
C9orf78	ACTR3	chr9:129828168:-chr2:113890097:+	
GAPDH	ABCG1	chr12:6537341:+chr21:42297013:+	
GPRIN3	DOCK2	chr4:89238709:-chr5:170076016:+	
KPNB1	KRT1	chr17:47650216:+chr12:52675493:-	
KRT1	ZNF282	chr12:52675503:-chr7:149224071:+	
LINC01340	RP11-455B3.1	chr5:97670684:+chr5:97881430:+	
MAP3K10	DMKN	chr19:40212850:+chr19:35511516:-	
NACA	TMEM30A	chr12:56726460:-chr6:75255937:-	
NAP1L1	PICALM	chr12:76046466:-chr11:85958755:-	
PABPC1	MT-ND5	chr8:100721574:-chrM:13697:+	
RBMX	MAN1A1	chrX:136873043:-chr6:119178859:-	
RP11-182L21.6	CBL	chr10:79826383:+chr11:119206291:+	
SATB2	TERF2IP	chr2:199270504:-chr16:75656778:+	
SUGP2	TCP1	chr19:18993139:-chr6:159780562:-	
TPM4	TMEM167B	chr19:16102938:+chr1:109094993:+	
GTPBP2	TRERF1	chr6:43623293:-chr6:42232607:-	chr6:43623295-chr6:42232607
TMEM147	JAK2	chr19:35546976:+chr9:5089765:+	chr1:35546975-chr9:5089765
ACTB	PLEKHB2		chr7:5528573-chr2:131263879
ACTB	PLEKHB2		chr7:5528573-chr2:131263881
NFKB2	SIRT3		chr10:102401048-chr11:216718
NFKB2	SIRT3		chr10:102401049-chr11:216718
ACTB	PLEKHB2		chr7:5528576-chr2:131263879
ACTB	PLEKHB2		chr7:5528576-chr2:131263878
NFKB2	SIRT3		chr10:102400822-chr11:216718
GTPBP2	TRERF1		chr6:43623295-chr6:42232607
NFKB2	SIRT3		chr10:102400824-chr11:216717
NFKB2	SIRT3		chr10:102400824-chr11:216716
NFKB2	SIRT3		chr10:102400824-chr11:216718
NFKB2	SIRT3		chr10:102400823-chr11:216718
GTPBP2	TRERF1		chr6:43623293-chr6:42232607
ACTB	PLEKHB2		chr7:5528572-chr2:131263879
ACTB	PLEKHB2		chr7:5528573-chr2:131263878
ACTB	PLEKHB2		chr7:5528576-chr2:131263877
ACTB	PLEKHB2		chr7:5528571-chr2:131263879
PLEKHB2	ACTB		chr2:131263941-chr7:5529220
CEBPZOS	COL1A1		chr2:37202692-chr17:50185257
BP-21264C1.2	MAFIP		chr21:9327298-chrY:11155884
ACTB	PLEKHB2		chr7:5528572-chr2:131263878
PLEKHB2	ACTB		chr2:131263936-chr7:5529225
WARS	FLG		chr14:100333773-chr1:152315477
GTPBP2	TRERF1		chr6:43623737-chr6:42228669
WARS	FLG		chr14:100333773-chr1:152315475
AC004967.7	OR7E38P		chr7:97969005-chr7:97966977
ACTB	PLEKHB2		chr7:5528570-chr2:131263879
ACTB	PLEKHB2		chr7:5528663-chr2:131263883
RNF216	XKR8		chr7:5725324-chr1:27966503
ACTB	PLEKHB2		chr7:5528605-chr2:131263879
ACTB	PLEKHB2		chr7:5528127-chr2:131264375
ACTB	PLEKHB2		chr7:5528416-chr2:131264167
ACTB	PLEKHB2		chr7:5528604-chr2:131263879
ACTB	PLEKHB2		chr7:5528127-chr2:131264372
ACTB	PLEKHB2		chr7:5528663-chr2:131263880
SELPLG	TMEM119		chr12:108623467-chr12:108592397
ACTB	PLEKHB2		chr7:5528660-chr2:131263883
UBALD2	NACC1		chr17:76271328-chr19:13135200
ACTB	PLEKHB2		chr7:5528569-chr2:131263889
ACTB	PLEKHB2		chr7:5528603-chr2:131263879
NFKB2	SIRT3		chr10:102400822-chr11:216716
PLEKHB2	ACTB		chr2:131264617-chr7:5528045
PLEKHB2	ACTB		chr2:131263930-chr7:5529199
PLEKHB2	ACTB		chr2:131263930-chr7:5529200
ACTB	PLEKHB2		chr7:5529208-chr2:131263724
ACTB	PLEKHB2		chr7:5528417-chr2:131264167
NFKB2	SIRT3		chr10:102400823-chr11:216716
PLEKHB2	ACTB		chr2:131263929-chr7:5529202
AC004967.7	OR7E38P		chr7:97969770-chr7:97966977
KRT10	CARM1		chr17:40819096-chr19:10871585
ACTB	PLEKHB2		chr7:5528693-chr2:131263895
ACTB	PLEKHB2		chr7:5528599-chr2:131263875
SHPRH	FBXO30		chr6:145864388-chr6:145806421
NCF2	CSF2RB		chr1:183555513-chr22:36922036
ACTB	PLEKHB2		chr7:5528438-chr2:131263910
RC3H1	SERPINC1		chr1:173941265-chr1:173914919
UPK3B	PMS2		chr7:76511882-chr7:6006031
RNF111	CCNB2		chr15:58988068-chr15:59114444
SRR	HNRNPA1		chr17:2307782-chr12:54284553
FAM129A	FAM102A		chr1:184884745-chr9:127942214
ACTB	PLEKHB2		chr7:5529207-chr2:131263724
ACTB	PLEKHB2		chr7:5528415-chr2:131264167
ACTB	PLEKHB2		chr7:5528416-chr2:131264166
WEE2-AS1	KIAA1147		chr7:141723916-chr7:141686658
CARM1	KRT10		chr19:10871651-chr17:40818884
ACTB	PLEKHB2		chr7:5528564-chr2:131263895
BRIX1	DNAJC21		chr5:34918297-chr5:34929649
NCL	PTMA		chr2:231472930-chr2:231708527
PLEKHB2	ACTB		chr2:131263930-chr7:5529202
SRR	HNRNPA1		chr17:2307880-chr12:54284571
LINC01166	CFAP46		chr10:132945020-chr10:132942265
DALRD3	TACC1		chr3:49015549-chr8:38728271
ACTB	PLEKHB2		chr7:5528417-chr2:131264166
PLEKHB2	ACTB		chr2:131263929-chr7:5529200
ACTB	PLEKHB2		chr7:5528502-chr2:131263873
FAM98A	AC020594.5		chr2:33584897-chr2:33559030
PLEKHB2	ACTB		chr2:131265026-chr7:5527470
TRADD	B3GNT9		chr16:67154456-chr16:67150671
ACTB	PLEKHB2		chr7:5528599-chr2:131263872
ACTB	PLEKHB2		chr7:5528507-chr2:131263896
NCL	PTMA		chr2:231472930-chr2:231708651
EEF2	ASH1L		chr19:3976027-chr1:155562295
KRT10	CARM1		chr17:40819018-chr19:10871585
PTGES2	SLC25A25-AS1		chr9:128121124-chr9:128118118
TRIM3	HPX		chr11:6449306-chr11:6440730
KRT10	CARM1		chr17:40819111-chr19:10871585
HELLS	CYP2C18		chr10:94608026-chr10:94687770
ACTB	PLEKHB2		chr7:5528351-chr2:131264164
PLEKHB2	ACTB		chr2:131263932-chr7:5529199
NFKB2	SIRT3		chr10:102400822-chr11:216717
ZBTB37	PLTP		chr1:173888486-chr20:45901559
GDI2	GPR132		chr10:5813307-chr14:105050239
C1ORF198	IGH_locus_(b)		chr1:230869162-chr14:105930624
ARHGAP44	VARS		chr17:12990166-chr6:31792895
ACTB	PLEKHB2		chr7:5528576-chr2:131263881
CTNNBIP1	RAC1		chr1:9849136-chr7:6402652
PODN	EIF2AK3		chr1:53078885-chr2:88575336
MYH9	COL18A1		chr22:36281838-chr21:45405203
PIK3CA	POLA2		chr3:179236236-chr11:65267511
TMED3	KIAA1024		chr15:79413556-chr15:79456098
SYNE3	SLC1A4		chr14:95410888-chr2:65023630
HYOU1	COL3A1		chr11:119044363-chr2:188974469
FTH1	KRT1		chr11:61967472-chr12:52675344
DHRS13	PPP6R2		chr17:28902818-chr22:50434971
PACS1	EHMT2		chr11:66244799-chr6:31896989
