Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
IKZF5	CWF19L2	FALSE	7=chr10:122998671-chr11:107416209	
RPP38	SERPINB1	FALSE	9=chr10:15103305-chr6:2835856	
C15orf57	CBX3	FALSE	2=chr15:40561981-chr7:26201745	
PSMA3-AS1	ARID4A	FALSE	6=chr14:58291635-chr14:58318542	
TPR	C16orf87	FALSE	4=chr1:186343418-chr16:46802633	
STK17B	TRIP12	FALSE	10=chr2:196171333-chr2:229805883	
MALAT1	MTDH	FALSE		69=chr11:65499133-chr8:97675956,70=chr11:65502656-chr8:97720661,71=chr11:65502656-chr8:97720663
CHORDC1	RHOA	FALSE		41=chr11:90217898-chr3:49360265,42=chr11:90217897-chr3:49360265,43=chr11:90217896-chr3:49360265,44=chr11:90217898-chr3:49360266,45=chr11:90217898-chr3:49360267
AHNAK	ARPC2	FALSE		29=chr11:62517247-chr2:218239608,30=chr11:62517247-chr2:218232561,31=chr11:62517248-chr2:218237538,32=chr11:62517248-chr2:218239608,33=chr11:62517248-chr2:218232561
TENM4	ACTB	TRUE		81=chr11:79004944-chr7:5527495,82=chr11:79405857-chr7:5527495,83=chr11:79004947-chr7:5527495,84=chr11:79405854-chr7:5527495,85=chr11:79003993-chr7:5527498
FTH1	BTN3A3	FALSE		12=chr11:61965137-chr6:26452070,13=chr11:61965141-chr6:26452066
ANXA11	HSPH1	FALSE		14=chr10:80170818-chr13:31143867
LCP1	PKM	FALSE		74=chr13:46126878-chr15:72227760,75=chr13:46126878-chr15:72227758,76=chr13:46126880-chr15:72227763
ANKRD10	DDX17	FALSE		27=chr13:110894413-chr22:38484072
BTG1	G3BP1	FALSE		8=chr12:92144017-chr5:151800903,9=chr12:92144017-chr5:151800906
TMBIM6	ZFP64	FALSE		87=chr12:49764721-chr20:52113612,94=chr12:49763697-chr20:52112085,95=chr12:49764728-chr20:52188303,96=chr12:49763697-chr20:52112083
YWHAB	CD74	FALSE		11=chr20:44907924-chr5:150410683
NOP56	PFDN1	FALSE		72=chr20:2658058-chr5:140276790,73=chr20:2658058-chr5:140273246
COL6A1	TNPO1	FALSE		89=chr21:46004525-chr5:72885758,90=chr21:46004524-chr5:72885758,91=chr21:46004525-chr5:72858968
ACTG1	TMSB4X	FALSE		88=chr17:81511452-chrX:12977000
KPNB1	DALRD3:WDR6	FALSE		5=chr17:47676824-chr3:49015550
KPNB1	MAATS1	FALSE		61=chr17:47664166-chr3:119738347,62=chr17:47664168-chr3:119743148
SRSF2	EIF5B	FALSE		53=chr17:76734615-chr2:99379008,54=chr17:76734857-chr2:99354811
TNFRSF8	FAF1	TRUE		55=chr1:12143666-chr1:50687358,56=chr1:12143666-chr1:50766797,57=chr1:12143666-chr1:50485681
PUM1	MALAT1:TALAM1	FALSE		77=chr1:31062621-chr11:65504327
SELENOF	PAK2	FALSE		78=chr1:86882495-chr3:196828446
CLSTN1	COL3A1	FALSE		46=chr1:9762461-chr2:189011952,47=chr1:9816540-chr2:188974469,48=chr1:9811734-chr2:189011953,49=chr1:9816540-chr2:188974471,50=chr1:9816539-chr2:188974471,51=chr1:9762461-chr2:189011951,52=chr1:9816539-chr2:188974469
TBL1XR1	DNAJA1	FALSE		79=chr3:177135341-chr9:33039549,80=chr3:177135339-chr9:33039549
MAATS1	TMSB4X	FALSE		22=chr3:119747153-chrX:12976316,23=chr3:119747155-chrX:12976318
CDV3	ANKH	FALSE		26=chr3:133588882-chr5:14845030
MBNL1	HIST1H1C	FALSE		65=chr3:152319630-chr6:26056425,68=chr3:152319630-chr6:26056427
ARL4C	CD74	FALSE		4=chr2:234493943-chr5:150410681
RNF145	PLOD3	FALSE		20=chr5:159203503-chr7:101210884,21=chr5:159203504-chr7:101210884
ACTB	PABPC1	FALSE		10=chr7:5528677-chr8:100706676
TNFAIP3	ACTB	FALSE		3=chr6:137881876-chr7:5527624
B2M	CDC37	FALSE		34=chr15:44717677-chr19:10399940,35=chr15:44717677-chr19:10399942,36=chr15:44717676-chr19:10399940,37=chr15:44717676-chr19:10399942,38=chr15:44717674-chr19:10399942
NFAT5	WWP2	FALSE	1=chr16:69566374-chr16:69840126,3=chr16:69568548-chr16:69840126	1=chr16:69566374-chr16:69840126,2=chr16:69568548-chr16:69840126
